AU,TI,SO,JI,DT,DE,ID,AB,C1,RP,CR,TC,PY,SC,UT,DB,AU_UN,AU1_UN,AU_UN_NR,SR_FULL,SR,AU_CO,DI,BN,WC,Z9,PU,FU,PF
SELWYN N; GORARD S; WILLIAMS S,DIGITAL DIVIDE OR DIGITAL OPPORTUNITY? THE ROLE OF TECHNOLOGY IN OVERCOMING SOCIAL EXCLUSION IN US EDUCATION,EDUCATIONAL POLICY,EDUC. POLICY,ARTICLE,NA,INFORMATION SUPERHIGHWAY,"THE USE OF INFORMATION TECHNOLOGY IN EDUCATION IS NOW A POLITICAL ORTHODOXY SEEN BY MANY POLITICIANS AND EDUCATORS AS A READY MEANS OF WIDENING PARTICIPATION TO THOSE SOCIAL GROUPS TRADITIONALLY EXCLUDED FROM LEARNING. HOWEVER THE ROLE OF TECHNOLOGY IN OVERCOMING SOCIAL EXCLUSION IN EDUCATION AND LIFETIME LEARNING PRACTICES HAS OFTEN FAILED TO BE OBJECTIVELY DISCUSSED WITH A TENDENCY FOR MANY EDUCATIONALISTS TO ADOPT EITHER OVERTLY OPTIMISTIC OR PESSIMISTIC POSITIONS. FROM THIS BACKGROUND THE PRESENT ARTICLE OBJECTIVELY EXAMINES BOTH CURRENT PATTERNS OF EXCLUSION FROM EDUCATION AND TECHNOLOGY ALONGSIDE THE RANGE OF ONGOING POLICIES AND INITIATIVES ESTABLISHED IN THE UNITED STATES CONCERNED WITH TECHNOLOGY AND EDUCATION. MOREOVER BASED ON A RANGE OF NORTH AMERICAN AND EUROPEAN RESEARCH LITERATURE CONCERNED WITH PARTICIPATION IN EDUCATION, THE ARTICLE THEN DISCUSSES THE ISSUES AND PROBLEMS FACED BY U.S. EDUCATIONALISTS AND POLICY MAKERS IN PROACTIVELY USING TECHNOLOGY AS A MEANS OF REDUCING SOCIAL EXCLUSION IN LIFELONG EDUCATION.","UNIV WALES COLL CARDIFF, SCH SOCIAL SCI, CARDIFF CF1 1XL, S GLAM, WALES.","SELWYN, N (CORRESPONDING AUTHOR), UNIV WALES COLL CARDIFF, SCH SOCIAL SCI, CARDIFF CF1 1XL, S GLAM, WALES.","BALL S J, 1999, DOI 10.1080/0305764990290203; BALNAVES M, 1997; BENT F, 1996; BROMLEY H, 1999; BRYSON M, 1994, DOI 10.2190/gv54-l06n-p3yx-h5me; BURSTALL E, 1996; CARNEVALE A, 1998; CARNEVALE A, 1998; CLINTON W, 2000; CROWLEY M, 1999; CUBVAN L, 1986; DE KERCKHOVE D, 2014; DEP E, 1999; DEP ED E, 1996; DOLOWITZ D, 2000; DRIVER M, 1994; EDWARDS R, 1993; FEVRE R, 1999, DOI 10.1080/1363908990120201; FEVRE R, 1999, DOI 10.1080/02660830.1999.11661400; FEVRE S, 1999, DOI 10.1080/0141192990250407; FIELDING A, 1998, DOI 10.1080/0305498980240405; FRAZER L, 1988; FRYER R, 1997; FURLONG J, 1998; FURTER P, 1977; GERSHUNY J, 1994; GLADIEUX L, 1999; GLENNAN T, 1996; GORARD S, 1999, DOI 10.1080/030549899103919; GORARD S, 1997; GORARD S, 1998; GORARD S, 1998; GREENHALGH C, 1987; HAND A, 1994; HARASIM L M, 1995; HARRISON R, 1993; HEDBERG J, 1992; HOLDERNESS M, 1998; INF INFR TASK F, 1993; ISTANCE D, 1995; JOHNSON R, 1993; KEEP E, 1997; KENNARD W, 2000; KENNEDY H, 1997; KERKA S, 1997; KITCHIN R, 1998; LANGDALE J, 1997, DOI 10.1016/s0308-5961(97)00004-9; LEWIS R, 1993; LYON D, 1988; MAGUIRE M, 1993; MCGIVNEY V, 1993; MORI, 1998; NASH I, 1996; NAT TEL INF A, 1999; NEILL M, 1995; NEWMAN R, 1999, DOI 10.1080/01425699995515; NOVAK T, 1998; OFF ED T, 2000; OFF ED T, 2000; PARK A, 1994; POSTMAN N, 1992; PYKE N, 1996; REES G, 1997; REES G, 1997; RESNICK D, 1997; RIEDLING A M, 1999; ROBERTS K, 1992; ROBERTSON D, 1998; ROBINS K, 1989; ROLL R, 1995; SARGANT N, 1996; SAWHNEY H, 1996, DOI 10.1177/016344396018002007; SCHRATZ M, 1996; SEALE J, 1999; SECR EL C, 1998; SELWYN N, 1999, DOI 10.1080/136911899359682; SELWYN N, 2000, DOI 10.1111/1468-2273.00153; SHACKLETON J, 1997; SLOWINSKI J, 2000; SPENDER D, 1997, DOI 10.1177/001139297045002008; SUSSMAN G, 1997; SW ED DEV L, 1995; TAN Z, 1995, DOI 10.1016/0308-5961(95)00036-4; TASKER M, 1993, DOI 10.1080/03075079312331382319; TAYLOR A, 1998, DOI 10.1080/002202798183675; TAYLOR S, 1994; TIGHT M, 1998, DOI 10.1080/0305498980240404; TITMUS C, 1994; TOULOUSE C, 1997; VOLTI R, 1992; WINNER L, 1997; WRESCH W, 1996; ZUBOFF S, 1988",42,2001,EDUCATION & EDUCATIONAL RESEARCH,WOS:000168237800002,ISI,UNIV WALES COLL CARDIFF,UNIV WALES COLL CARDIFF,NA,"SELWYN N, 2001, EDUC POLICY","SELWYN N, 2001, EDUC POLICY",UNITED KINGDOM,10.1177/0895904801015002002,NA,EDUCATION & EDUCATIONAL RESEARCH,42,CORWIN PRESS INC A SAGE PUBLICATIONS CO,NA,WOS
MENOU M,THE GLOBAL DIGITAL DIVIDE; BEYOND HICTERIA,ASLIB PROCEEDINGS,ASLIB PROC.,ARTICLE,NA,NA,"QUESTIONS THE VALUES AND WISDOM OF THOSE PROPOSING TO TACKLE THE GLOBAL DIGITAL DIVIDE. WHY, FOR INSTANCE, THE CONCERN FOR THE DIGITAL DIVIDE AND NOT THE HEALTH DIVIDE? QUESTIONS TOO THE METHODS FOR DETERMINING AND MEASURING THE DIVIDE AND THE NAIVE ASSUMPTION THAT THE INTERNET ITSELF CAN TRANSFORM THE DESTINIES OF THE DIGITALLY POOR. WHAT IS REALLY AT ISSUE IS NOT FINDING THE BEST WAY OF BRINGING THE INTERNET TO THE POOR, BUT FINDING THE BEST WAY FOR THE POOR TO TAKE ADVANTAGE OF THE INTERNET IN ORDER TO IMPROVE THEIR LOT.","CITY UNIV LONDON, DEPT INFORMAT SCI, LONDON EC1V 0HB, ENGLAND.","MENOU, MJ (CORRESPONDING AUTHOR), CITY UNIV LONDON, DEPT INFORMAT SCI, NORTHAMPTON SQ, LONDON EC1V 0HB, ENGLAND.","CASTELLS M, 1999; HAMELINK C, 1999; HEEKS R, 2001; HEEKS R, 1999; LABATON S, 2001; PORAT M, 1977",4,2001,COMPUTER SCIENCE; INFORMATION SCIENCE & LIBRARY SCIENCE,WOS:000168605900002,ISI,CITY UNIV LONDON,CITY UNIV LONDON,NA,"MENOU MJ, 2001, ASLIB PROC","MENOU MJ, 2001, ASLIB PROC",UNITED KINGDOM,10.1108/eum0000000007045,NA,"COMPUTER SCIENCE, INFORMATION SYSTEMS; INFORMATION SCIENCE & LIBRARY SCIENCE",4,ASLIB,NA,WOS
BRADLEY R,WHAT IS THE KEY TO INTERNATIONALIZATION?,"INTERNATIONAL SYMPOSIUM ON TECHNOLOGY AND SOCIETY, PROCEEDINGS",NA,PROCEEDINGS PAPER,GLOBALIZATION; USABILITY; INTERNET; DESIGN; CULTURE; INTERNATIONALIZATION; DIGITAL DIVIDE,NA,"IN A FIVE-YEAR PERIOD, BETWEEN 1993 AND 1998, THE NUMBER OF INTERNET SITES GREW 200-FOLD [1]. ACCORDINGLY, THERE ARE NOW AN ESTIMATED 304 MILLION GLOBAL INTERNET USERS, AN INCREASE OF 78 PERCENT FROM 1999 [2]. ANOTHER APPRECIABLE TREND IS WHO IS USING THE INTERNET AND FROTH WHERE. RECENTLY RELEASED RESEARCH FOUND THAT THE UNITED STATES AND CANADA NOW ACCOUNT FOR LESS THAN 50 PERCENT OF TOTAL USER GROWTH [2], THIS IS A TREND THAT MOST RESEARCHERS BELIEVE WILL CONTINUE DURING THE NEXT DECADE. THIS BELIEF IS ALSO STRONGLY SUPPORTED BY RESEARCH CONDUCTED BY THE WORLD ECONOMIC FORUM. THE WEF TASK FORCE ON THE GLOBAL DIGITAL DIVIDE INITIATIVE ISSUED A REPORT TO THE KYUSHU-OKINAWA G-8 SUMMIT IN JUNE DISCLOSING RESEARCH AND SUGGESTIONS FOR ACTION. THE WEF REPORT NOTED THAT ""MARKET-ORIENTED POLICY REFORMS, LOCAL ENTREPRENEURIAL EFFORTS AND THE SUPPORT OF THE INTERNATIONAL COMMUNITY HAVE COMBINED TO SIGNIFICANTLY INCREASE THE DEPLOYMENT AND USABILITY OF TELECOMMUNICATIONS, INTERNET AND RELATED TECHNOLOGIES IN MANY COUNTRIES ACROSS ASIA, LATIN AMERICA, AFRICA AND THE MIDDLE EAST"" [3]. IT IS APPARENT THAT DESIGN PLAYS A SIGNIFICANT ROLE IN EFFECTIVE COMMUNICATION. THE ITALIAN DESIGNER LIDIA GUIBERT FERRARA NOTED THAT, ""THE GOAL OF CROSS-CULTURAL DESIGN IS TO RESPECT THE SUBTLETIES OF ONE'S AUDIENCE, AN EFFORT THAT REQUIRES CONSTANT QUESTIONING OF BOTH THE DESIGNER'S PERSONAL BELIEFS AND THE TROUBLING MISCONCEPTIONS THAT MIGHT BE LURKING IN THE ASSIGNMENT"" [4]. THE MAJOR CONCERNS ADDRESSED HERE MAY SEEM COMMON PLACE. IN PRACTICE, HOWEVER, DESIGNERS AND USABILITY EXPERTS CONTINUE TO OVERLOOK BASIC COMMUNICATION CONSIDERATIONS AS NOTED BY EXAMPLE THROUGHOUT THIS PAPER. THE TRANSLATION OF ""QUELLE EST LA CLEF A LA MONDIALISATION?"" IS ""WHAT IS THE KEY TO INTERNATIONALIZATION?.","UNIV LOUGHBOROUGH, DEPT INFORMAT SCI, LOUGHBOROUGH, LEICS, ENGLAND.","BRADLEY, RK (CORRESPONDING AUTHOR), UNIV LOUGHBOROUGH, DEPT INFORMAT SCI, LOUGHBOROUGH, LEICS, ENGLAND.","ARLEN G, 2000; DUBIE D, 2000; FINEBERG S, 2000; HORTON W, 1993; HOWELL D, 2000; KUEHL, 1999; LAWRENCE S, 2000; LEVY K, 1999; MADDOX K, 1997; NIELSEN J, 2000; PETRAZZINI B, 1999, DOI 10.1145/303849.303858; SHNEIDERMAN B, 2000; STEINER, 1995; US DEP C, 2000; US DEP COMM N, 1998; WILSON T, 1999",1,2001,COMPUTER SCIENCE,WOS:000173448000014,ISI,UNIV LOUGHBOROUGH,UNIV LOUGHBOROUGH,NA,"BRADLEY RK, 2001, NA","BRADLEY RK, 2001, NA",UNITED KINGDOM,0-7695-1210-0,0-7695-1210-0,"COMPUTER SCIENCE, CYBERNETICS; COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",1,IEEE COMPUTER SOC,NA,WOS
JAMES J,BRIDGING THE DIGITAL DIVIDE WITH LOW-COST INFORMATION TECHNOLOGIES,JOURNAL OF INFORMATION SCIENCE,J. INF. SCI.,ARTICLE,NA,NA,"ALTHOUGH THERE ARE MANY REQUIREMENTS THAT NEED TO BE MET IF THE DIGITAL DIVIDE BETWEEN RICH AND POOR COUNTRIES IS TO BE NARROWED, THIS PAPER FOCUSES ON JUST ONE ASPECT OF THE PROBLEM; NAMELY, THE NEED FOR LOW-COST INFORMATION TECHNOLOGIES THAT ARE SUITABLE TO THE CONDITIONS PREVAILING IN THE LATTER RATHER THAN THE FORMER. IT IS ARGUED THAT THERE ARE, IN FACT, ALREADY MANY MORE SUCH TECHNOLOGIES THAN MOST PEOPLE REALISE, MAINLY BECAUSE WHAT INFORMATION ABOUT THEM THAT DOES EXIST TENDS TO BE HIGHLY FRAGMENTED. WHAT IS NEEDED, ACCORDINGLY, IS AN INSTITUTION CHARGED WITH THE FUNCTION OF REGISTERING AND DISSEMINATING ALL THE FRAGMENTARY INFORMATION ABOUT LOW-COST INFORMATION THAT IS CURRENTLY AVAILABLE.","TILBURG UNIV, NL-5000 LE TILBURG, NETHERLANDS.","JAMES, J (CORRESPONDING AUTHOR), KATHOLIEKE UNIV BRABANT, POB 90153, NL-5000 LE TILBURG, NETHERLANDS.","BURR C, 2000; GARRIOTT G, 1996; HUDSON H, 1997; INT TEL U, 1998; JENSEN M, 1999; NGORO B, 2000; PITRODA S, 1993; UN DEV P, 2000; YOUNG J, 1993",13,2001,COMPUTER SCIENCE; INFORMATION SCIENCE & LIBRARY SCIENCE,WOS:000172842500003,ISI,TILBURG UNIV,KATHOLIEKE UNIV BRABANT,NA,"JAMES J, 2001, J INF SCI","JAMES J, 2001, J INF SCI",NETHERLANDS,10.1177/016555150102700403,NA,"COMPUTER SCIENCE, INFORMATION SYSTEMS; INFORMATION SCIENCE & LIBRARY SCIENCE",13,BOWKER-SAUR,NA,WOS
CAWKELL T,SOCIOTECHNOLOGY: THE DIGITAL DIVIDE,JOURNAL OF INFORMATION SCIENCE,J. INF. SCI.,ARTICLE,NA,NA,NA,"CITECH LTD, IVER SL0 0QZ, BUCKS, ENGLAND.","CAWKELL, T (CORRESPONDING AUTHOR), CITECH LTD, POB 565, IVER SL0 0QZ, BUCKS, ENGLAND.","AM LIB A, 1989; BICKNELL C, 2000; CAWKELL T, 1998, DOI 10.1177/016555159802400106; DAVIDSON J, 1997; FREAN A, 2000; HAYWOOD T, 1995; JACOBSON T, 1994, DOI 10.1002/(sici)1097-4571(199412)45:10<745::aid-asi5>3.0.coa; KAGAN A, 1999; MARCELLA R, 2000, DOI 10.1177/016555150002600404; NEICE D, 2000; OBRIEN C, 2000; PHILIPSON G, 2000; SCHILLER H, 1984; SKUSE A, 2000; THOMPSON D, 2000; WILSKI H, 1987; WIST K, 2000",16,2001,COMPUTER SCIENCE; INFORMATION SCIENCE & LIBRARY SCIENCE,WOS:000167284400007,ISI,CITECH LTD,CITECH LTD,NA,"CAWKELL T, 2001, J INF SCI","CAWKELL T, 2001, J INF SCI",UNITED KINGDOM,10.1177/016555150102700107,NA,"COMPUTER SCIENCE, INFORMATION SYSTEMS; INFORMATION SCIENCE & LIBRARY SCIENCE",16,BOWKER-SAUR,NA,WOS
JAMES J,LOW-COST COMPUTING AND RELATED WAYS OF OVERCOMING THE GLOBAL DIGITAL DIVIDE,JOURNAL OF INFORMATION SCIENCE,J. INF. SCI.,ARTICLE,NA,NA,NA,"TILBURG UNIV, NL-5000 LE TILBURG, NETHERLANDS.","JAMES, J (CORRESPONDING AUTHOR), KATHOLIEKE UNIV BRABANT, POB 90153, NL-5000 LE TILBURG, NETHERLANDS.","BARBER S, 2001; CAVE D, 2000; DEMPAIRE A, 2001; HUDSON H, 1997; JAMES J, 2001; KAYANI R, 1997; KEEGAN V, 2000; LALL S, 1992; MAIN L, 2001; METCALFE B, 2000; MURRAY D, 2001; POLLOCK H, 2001; ROCHELT R, 2000; RODRIGUEZ F, 2001; SCHEERES J, 2001; U S DEPARTMENT OF C, 2000; WACHIRA N, 2001; WACHIRA N, 2001; WILLIAMS M, 2001",11,2001,COMPUTER SCIENCE; INFORMATION SCIENCE & LIBRARY SCIENCE,WOS:000174105900004,ISI,TILBURG UNIV,KATHOLIEKE UNIV BRABANT,NA,"JAMES J, 2001, J INF SCI","JAMES J, 2001, J INF SCI-a",NETHERLANDS,10.1177/0165551014233824,NA,"COMPUTER SCIENCE, INFORMATION SYSTEMS; INFORMATION SCIENCE & LIBRARY SCIENCE",11,BOWKER-SAUR,NA,WOS
JAMES J,UNIVERSAL ACCESS TO INFORMATION TECHNOLOGY IN DEVELOPING COUNTRIES,REGIONAL STUDIES,REG. STUD.,REVIEW,UNIVERSAL ACCESS; DIGITAL DIVIDE; INFORMATION TECHNOLOGY; RURAL AREAS,NA,"ASSUMING, AS ONE MUST, THAT ACCESS TO INFORMATION TECHNOLOGIES IN THE RURAL AREAS OF DEVELOPING COUNTRIES WILL BE BASED AT THE COMMUNAL RATHER THAN THE INDIVIDUAL LEVEL, WE EXAMINE A VARIETY OF TECHNOLOGIES THAT ARE SUITED TO THIS PURPOSE. THESE INCLUDE WIRELESS TECHNOLOGIES FOR USE IN SCHOOLS, LOW-COST VILLAGE KIOSKS, PUBLIC TELEPHONES THAT FACILITATE INCOMING AS WELL AS OUTGOING CALLS, LOW-COST COMPUTERS WITH REMOVABLE SMART CARDS THAT ALLOW A SINGLE UNIT TO BE SHARED BY MANY USERS AND THE USE OF SCHOOL COMPUTERS FOR ADULT EDUCATION OUTSIDE THE TIMES WHEN THEY ARE IN CLASSROOM USE.","TILBURG UNIV, DEPT ECON, NL-5000 LE TILBURG, NETHERLANDS.","JAMES, J (CORRESPONDING AUTHOR), TILBURG UNIV, DEPT ECON, POB 90153, NL-5000 LE TILBURG, NETHERLANDS.","BENJAMIN P, 1999; BEST M, 2001; CAWTHERA A, 2001; GODWINJONES R, 2002; HAWKINS R, 2001; INT TEL U, 1998; JAMES J, 2001; JENSEN M, 2001; JHUNJHUNWALA A, 2001; MADDY M, 2000; MAYANJA M, 2001; MINGES M, 2002; MURRAY D, 1999; PITRODA S, 1993; RAI S, 2001",6,2002,BUSINESS & ECONOMICS; ENVIRONMENTAL SCIENCES & ECOLOGY; GEOGRAPHY; PUBLIC ADMINISTRATION,WOS:000179888800011,ISI,TILBURG UNIV,TILBURG UNIV,NA,"JAMES J, 2002, REG STUD","JAMES J, 2002, REG STUD",NETHERLANDS,10.1080/0034340022000024312,NA,ECONOMICS; ENVIRONMENTAL STUDIES; GEOGRAPHY; REGIONAL & URBAN PLANNING,6,CARFAX PUBLISHING,NA,WOS
DAI X,TOWARDS A DIGITAL ECONOMY WITH CHINESE CHARACTERISTICS?,NEW MEDIA & SOCIETY,NEW MEDIA SOC.,ARTICLE; PROCEEDINGS PAPER,CHINA; DIGITAL DIVIDE; ECONOMIC DEVELOPMENT; GLOBALIZATION; INDUSTRIALIZATION AND INFORMATIZATION; INFORMATION AND COMMUNICATIONS TECHNOLOGIES (ICTS); INTERNET; NEW ECONOMY; TELECOMMUNICATIONS,NA,"THERE ARE TWO OPPOSING VIEWS WHEN CONSIDERING ECONOMIC DEVELOPMENT STRATEGIES IN THE DIGITAL AGE: SOME INSIST THAT THE 'NEW ECONOMY' APPLIES MAINLY TO THE INDUSTRIALIZED COUNTRIES AND ARE DOUBTFUL THAT NEW INFORMATION AND COMMUNICATIONS TECHNOLOGIES (ICTS) WILL ALLOW DEVELOPING COUNTRIES TO LEAPFROG TO HIGHER LEVELS OF DEVELOPMENT; OTHERS ARGUE THAT JUMP-STARTING' DEVELOPMENT MAY NOT BE AS DIFFICULT AS THE PESSIMISTS THINK. THROUGH A CASE STUDY ON CHINA'S 'TWIN-TRACK STRATEGY' FOR ECONOMIC DEVELOPMENT, WHICH INVOLVES MERGING INDUSTRIALIZATION AND INFORMATIZATION, THIS ARTICLE AIMS TO INVESTIGATE WHETHER DEVELOPING COUNTRIES ARE ABLE TO PLAY A SIGNIFICANT ROLE IN SHAPING THE DIGITAL REVOLUTION AND THE GLOBAL 'NEW ECONOMY'. THE EVIDENCE PRESENTED IN THIS ARTICLE SUGGESTS THAT CHINA'S STATUS AS A POOR AND DEVELOPING COUNTRY HAS NOT PREVENTED ITS GOVERNMENT FROM MAKING EFFECTIVE PREPARATIONS TO EMBRACE THE OPPORTUNITIES AND CHALLENGES ASSOCIATED WITH NEW ICTS IN WAYS THAT ARE COMPATIBLE WITH INDIGENOUS SOCIOECONOMIC FACTORS.","UNIV HULL, DEPT POLIT & INT STUDIES, KINGSTON UPON HULL HU6 7RX, N HUMBERSIDE, ENGLAND.","DAI, XD (CORRESPONDING AUTHOR), UNIV HULL, DEPT POLIT & INT STUDIES, KINGSTON UPON HULL HU6 7RX, N HUMBERSIDE, ENGLAND.","BARSHEFSKY C, 2001; CASTELLS M, 1996; DAI X, 2000; DAI X, 2000, DOI 10.1080/09557570008400308; DAI X, 2000; DORDICK H, 1993; GIDDENS A, 1999; HACHIGIAN N, 2001, DOI 10.2307/20050069; HAMMOND A, 2001, DOI 10.2307/20050067; HSU M, 2001; INF SOC F, 1996; JANDA R, 1999; KYNGE J, 2000; MADON S, 1997, DOI 10.1080/019722497129115; MERR L, 2000; MIN SCI I, 1999; MOWLANA H, 1997; OECD, 2000; OECD, 2000; PERSAUD A, 2001, DOI 10.2307/20050068; QIU J, 2000; QUAH D, 2000; SCOTT B, 2001; SHAPIRO C, 1998; TOFFLER A, 1981; US E, 1998; WORLD B, 1999; WORLD B, 2000; ZHU R, 2000; ZYSMAN J, 2000",18,2002,COMMUNICATION,WOS:000176147000002,ISI,UNIV HULL,UNIV HULL,NA,"DAI XD, 2002, NEW MEDIA SOC","DAI XD, 2002, NEW MEDIA SOC",UNITED KINGDOM,10.1177/14614440222226316,NA,COMMUNICATION,18,SAGE PUBLICATIONS LTD,NA,WOS
BONFADELLI H,THE INTERNET AND KNOWLEDGE GAPS - A THEORETICAL AND EMPIRICAL INVESTIGATION,EUROPEAN JOURNAL OF COMMUNICATION,EUR. J. COMMUN.,ARTICLE,DIGITAL DIVIDE; INFORMATION SOCIETY; INTERNET USE; KNOWLEDGE GAP; POLITICAL KNOWLEDGE; SWITZERLAND,PUBLIC AFFAIRS KNOWLEDGE; NEWS; MOTIVATION,"ALTHOUGH THE KNOWLEDGE GAP HYPOTHESIS IS OFTEN MENTIONED IN CONNECTION WITH THE SOCIAL CONSEQUENCES OF THE INFORMATION SOCIETY, THERE IS LITTLE DISCUSSION OF ITS THEORETICAL BACKGROUND OR SPECIFIC EMPIRICAL EVIDENCE. THEREFORE, THIS ARTICLE EXPLORES THE THEORETICAL POTENTIAL OF THE KNOWLEDGE GAP PERSPECTIVE FOR INTERNET RESEARCH AND PRESENTS DATA BASED ON TWO RECENT INTERNET SURVEYS, WHICH DEMONSTRATE A DOUBLE DIGITAL DIVIDE. ACCESS TO THE INTERNET IN SWITZERLAND IS STILL DOMINATED BY WELL-EDUCATED, AFFLUENT, YOUNG MALES AND BETWEEN 1997 AND 2000 THE GAP BETWEEN THOSE WHO DO AND THOSE WHO DO NOT HAVE ACCESS WIDENED NOT NARROWED. FURTHERMORE, THERE ARE GAPS IN THE USE OF THE INTERNET TOO. MORE EDUCATED PEOPLE USE THE INTERNET MORE ACTIVELY AND THEIR USE IS MORE INFORMATION ORIENTED, WHEREAS THE LESS EDUCATED SEEM TO BE INTERESTED PARTICULARLY IN THE ENTERTAINMENT FUNCTIONS OF THE INTERNET.","UNIV ZURICH, INST PUBLIZISTIKWISSENSCH & MEDIENFORSCH, INST MASS COMMUN & MEDIA RES, CH-8035 ZURICH, SWITZERLAND.","BONFADELLI, H (CORRESPONDING AUTHOR), UNIV ZURICH, INST PUBLIZISTIKWISSENSCH & MEDIENFORSCH, INST MASS COMMUN & MEDIA RES, POSTFACH 507, CH-8035 ZURICH, SWITZERLAND.","BONFADELLI H, 1994; DERVIN B, 1980; DYSON E, 1997; EICHMANN H, 2000; ETTEMA J, 1977, DOI 10.1177/009365027700400204; GATES B, 1995; GAZIANO C, 1996; GENOVA B, 1979, DOI 10.1086/268493; GLOTZ P, 1999; GOLDING P, 1998; GRABE M, 2000, DOI 10.1177/009365000027001001; GRABER D, 2001; HORSTMANN R, 1991; KUBICEK H, 2000; KWAK N, 1999, DOI 10.1177/009365099026004002; MCLEOD D, 1994, DOI 10.1177/107769909407100216; NEGROPONTE N, 1995; NIE N, 2000; OMALLEY C, 2000; PRICE V, 1993, DOI 10.1086/269363; ROSENTHAL D, 1999; SCHULZ W, 1985; SHAH D, 2001, DOI 10.1080/105846001750322952; TAPSCOTT D, 1996, DOI 10.5860/choice.33-5199; TICHENOR P, 1970, DOI 10.1086/267786; VAN DIJK J, 2000; VISWANATH K, 1993, DOI 10.1177/009365093020004003; VISWANATH K, 2000, DOI 10.1177/009365000027001002; VISWANATH K, 1996, DOI 10.1080/23808985.1996.11678931; WIRTH W, 1999; WIRTH W, 1997",337,2002,COMMUNICATION,WOS:000174727500003,ISI,UNIV ZURICH,UNIV ZURICH,NA,"BONFADELLI H, 2002, EUR J COMMUN","BONFADELLI H, 2002, EUR J COMMUN",SWITZERLAND,10.1177/0267323102017001607,NA,COMMUNICATION,343,SAGE PUBLICATIONS LTD,NA,WOS
JAMES J,LOW-COST INFORMATION TECHNOLOGY IN DEVELOPING COUNTRIES: CURRENT OPPORTUNITIES AND EMERGING POSSIBILITIES,HABITAT INTERNATIONAL,HABITAT INT.,ARTICLE,INFORMATION TECHNOLOGY; DIGITAL DIVIDE; TECHNICAL CHANGE; POLICY; INDIA,NA,"AS ITS POINT OF DEPARTURE. THIS PAPER TAKES THE VIEW THAT IF THE DIGITAL DIVIDE BETWEEN RICH AND POOR COUNTRIES IS TO BE DIMINISHED ON ANY SIGNIFICANT SCALE, A WIDE RANGE OF COMPLEMENTARY LOW-COST VERSIONS OF INFORMATION TECHNOLOGIES WILL BE NEEDED. SINCE THE AVAILABLE KNOWLEDGE ABOUT THESE TECHNOLOGIES IS HIGHLY FRAGMENTED AND DIFFICULT TO ACCESS, HOWEVER, WE SEEK IN THIS PAPER TO PROVIDE POLICYMAKERS NOT ONLY WITH A DESCRIPTION OF SOME OF THE MORE IMPORTANT LOW-COST INFORMATION TECHNOLOGIES THAT ARE ALREADY IN USE, BUT ALSO WITH AN INDICATION OF WHERE SUCH TECHNOLOGIES ARE LIKELY TO EMERGE IN THE NEAR FUTURE. (C) 2001 ELSEVIER SCIENCE LTD. ALL RIGHTS RESERVED.","TILBURG UNIV, NL-5000 LE TILBURG, NETHERLANDS.","JAMES, J (CORRESPONDING AUTHOR), TILBURG UNIV, POB 90153, NL-5000 LE TILBURG, NETHERLANDS.","CRESWELL J, 2000; GUPTA R, 2000; HUDSON H, 1997; HUNG F, 2000; JAMES J, 2001; JHUNJHUNWALA A, 2000; MURRAY D, 1999; O'MEARA M, 2000; RODRIGUEZ F, 2000; STATA R, 2000; VIJAYADITYA N, 2000; YOUNG J, 1993",16,2002,DEVELOPMENT STUDIES; ENVIRONMENTAL SCIENCES & ECOLOGY; PUBLIC ADMINISTRATION; URBAN STUDIES,WOS:000172886600002,ISI,TILBURG UNIV,TILBURG UNIV,NA,"JAMES J, 2002, HABITAT INT","JAMES J, 2002, HABITAT INT",NETHERLANDS,10.1016/s0197-3975(01)00030-3,NA,DEVELOPMENT STUDIES; ENVIRONMENTAL STUDIES; REGIONAL & URBAN PLANNING; URBAN STUDIES,16,PERGAMON-ELSEVIER SCIENCE LTD,NA,WOS
