"About the data: Exported on Dec 13, 2022. Criteria: '""digital divide*"" OR ""digital inequalit*"" OR ""digital gap*""' in title and abstract; Publication Year is 2000 or 2001 or 2002 or 2003 or 2004 or 2005 or 2006 or 2007; Fields of Research (ANZSRC 2020) is 35 Commerce, Management, Tourism and Services or 38 Economics or 46 Information and Computing Sciences; Publication Type is Article or Chapter or Proceeding. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,ISBN,Title,Abstract,Acknowledgements,Source title,Anthology title,Publisher,ISSN,MeSH terms,Publication Date,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Research Organizations - standardized,GRID IDs,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,UIDs of supporting grants,Supporting Grants,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Cancer Types,CSO Categories,Units of Assessment,Sustainable Development Goals
3466,pub.1077130253,,16239960,PMC1255755,,Disseminating relevant health information to underserved audiences: implications of the Digital Divide Pilot Projects.,"OBJECTIVE: This paper examines the influence of the digital divide on disparities in health outcomes for vulnerable populations, identifying implications for medical and public libraries.
METHOD: The paper describes the results of the Digital Divide Pilot Projects demonstration research programs funded by the National Cancer Institute to test new strategies for disseminating relevant health information to underserved and at-risk audiences.
RESULTS: The Digital Divide Pilot Projects field-tested innovative systemic strategies for helping underserved populations access and utilize relevant health information to make informed health-related decisions about seeking appropriate health care and support, resisting avoidable and significant health risks, and promoting their own health.
IMPLICATIONS: The paper builds on the Digital Divide Pilot Projects by identifying implications for developing health communication strategies that libraries can adopt to provide digital health information to vulnerable populations.",,Journal of the Medical Library Association,,,"1536-5050, 1558-9439","Community-Institutional Relations; Health Education; Health Promotion; Humans; Information Dissemination; Library Materials; Library Services; Medically Underserved Area; Organizational Objectives; Outcome and Process Assessment, Health Care; Pilot Projects; Program Evaluation; United States; Vulnerable Populations",2005-10,2005,,2005-10,93,4 Suppl,s68-73,Closed,Article,"Kreps, Gary L","Kreps, Gary L (Department of Communication, George Mason University, Thompson Hall 206 MSN 3D6, Fairfax, VA 22030, USA. gkreps@gmu.edu)",,"Kreps, Gary L (George Mason University)",George Mason University,grid.22448.38,Fairfax,Virginia,United States,,,,,,64,6,1.04,41.21,,,https://app.dimensions.ai/details/publication/pub.1077130253,46 Information and Computing Sciences; 4610 Library and Information Studies,Clinical Research; Health Services; Patient Safety,,,Not Site-Specific Cancer,6.5 Education and Communication,"D34 Communication, Cultural and Media Studies, Library and Information Management",3 Good Health and Well Being
3318,pub.1077504662,,17953180,,,The electronic health record: a digital divide?,"The gap between EHR adoption among larger providers versus adoption by smaller or rural providers has caused a ""digital divide"" that could threaten smaller providers' survival in the years ahead. Closing this gap will require the collective action of providers, payers, and government.",,Healthcare Financial Management,,,0735-0732,"Diffusion of Innovation; Health Facility Size; Hospitals, Rural; Medical Records Systems, Computerized; United States",2007-10,2007,,2007-10,61,10,"38-40, 42",Closed,Article,"Glaser, John","Glaser, John (Partners HealthCare, Boston, USA. jglaser@partners.org)",,"Glaser, John (Partners HealthCare)",Partners HealthCare,grid.452687.a,Boston,Massachusetts,United States,,,,,,6,0,0.14,1.12,,,https://app.dimensions.ai/details/publication/pub.1077504662,42 Health Sciences; 4203 Health Services and Systems; 46 Information and Computing Sciences,Clinical Research,,,,,C18 Law,
2737,pub.1077363801,10.1109/iembs.2004.1403868,17270927,,0-7803-8439-3,Modeling Telehealth and Telemedicine: A Global Geosociopolitical Perspective,"Telehealth and telemedicine can encompass many applications including direct patient care, training, supervision, consultation, continuing education, and consumer health. The field uses an array of technology from the simplest telephony to advanced robotics. Therefore, it is important to work from a model in design or implementation. This rapidly changing and sometimes chaotic environment presents engineers with a unique opportunity to address the digital divide that is reflective of the geosociopolitical makeup of the world economy. The paper begins a developmental perspective of service delivery models currently used, likening the early years to a feudal system and the current time to a mosaic. After a brief look at the digital divide and the role of culture in technology, the paper concludes with application examples from projects around the world and suggests ways that model systems can be designed with various levels of technology.",,Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),The 26th Annual International Conference of the IEEE Engineering in Medicine and Biology Society,Institute of Electrical and Electronics Engineers (IEEE),"1557-170X, 1558-4615",,2004,2004,,2004,2,,3072-3075,Closed,Proceeding,"Stamm, B Hudnall","Stamm, B Hudnall (Inst. of Rural Health, Idaho State Univ., Pocatello, ID, USA.)","Stamm, B Hudnall (Idaho State University)","Stamm, B Hudnall (Idaho State University)",Idaho State University,grid.257296.d,Pocatello,Idaho,United States,,,,,,2,0,0.03,0.47,,,https://app.dimensions.ai/details/publication/pub.1077363801,40 Engineering; 4008 Electrical Engineering; 46 Information and Computing Sciences,Bioengineering; Clinical Research; Health Services; Networking and Information Technology R&D,,,,,C17 Business and Management Studies,
2653,pub.1074719885,,11055305,PMC35259,,"Library outreach: addressing Utah's ""Digital Divide"".","A ""Digital Divide"" in information and technological literacy exists in Utah between small hospitals and clinics in rural areas and the larger health care institutions in the major urban area of the state. The goals of the outreach program of the Spencer S. Eccles Health Sciences Library at the University of Utah address solutions to this disparity in partnership with the National Network of Libraries of Medicine-- Midcontinental Region, the Utah Department of Health, and the Utah Area Health Education Centers. In a circuit-rider approach, an outreach librarian offers classes and demonstrations throughout the state that teach information-access skills to health professionals. Provision of traditional library services to unaffiliated health professionals is integrated into the library's daily workload as a component of the outreach program. The paper describes the history, methodology, administration, funding, impact, and results of the program.",,Journal of the Medical Library Association,,,"1536-5050, 1558-9439, 0025-7338","Area Health Education Centers; Computer Literacy; Grateful Med; Internet; Libraries, Medical; Library Services; MEDLINE; National Library of Medicine (U.S.); Program Development; Rural Health Services; Societies, Medical; Telemedicine; United States; Utah; Workforce",2000-10,2000,,2000-10,88,4,367-73,Closed,Article,"McCloskey, K M","McCloskey, K M (Spencer S. Eccles Health Sciences Library, University of Utah, Salt Lake City 84112-5890, USA.)",,"McCloskey, K M (University of Utah)",University of Utah,grid.223827.e,Salt Lake City,Utah,United States,,,,,,8,0,0.18,6.18,,,https://app.dimensions.ai/details/publication/pub.1074719885,46 Information and Computing Sciences; 4610 Library and Information Studies,,,,,,"D34 Communication, Cultural and Media Studies, Library and Information Management",
2573,pub.1077368374,10.1109/iembs.2005.1616609,17282378,,0-7803-8741-4,Evaluation of Patient-Centered Electronic Health Record to Overcome Digital Divide,"Advances and wide acceptance of information and communication technology (ICT) have made development and implementation of web-based electronic personal health records (PHRs) more feasible than ever before, and previous studies have demonstrated some of its potential and promises. However, this type of ICT-dependent approach inherits its own vulnerabilities of exposing the society to digital divide, commonly described as the gap that exists among individuals and communities with regards to the haves and have-nots of information and modern communications technologies. To address these concerns and improve healthcare outcomes, we have developed and customized a web-based patient-centered electronic PHR, named the Personal Health Information Management System (PHIMS), and evaluated the system at the Everett Housing Authority, which provides housings for low-income ncome families and elderly or disabled populations. A preliminary study demonstrates that 92% of the participating residents are satisfied with the PHIMS system in general. Some of the residents found PHIMS records very useful for their clinic visits.",,Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2005 IEEE Engineering in Medicine and Biology 27th Annual Conference,Institute of Electrical and Electronics Engineers (IEEE),"1557-170X, 1558-4615",,2005,2005,,2005,2005,,1091-1094,Closed,Proceeding,"Kim, E.; Mayani, A.; Modi, S.; Soh, C. B.; Kim, Y.","Kim, E. (Department of Bioengineering, University of Washington, Seattle, WA, 98195, USA); Mayani, A. (Department of Bioengineering, University of Washington, Seattle, WA, 98195, USA); Modi, S. (Department of Bioengineering, University of Washington, Seattle, WA, 98195, USA); Soh, C. B. (Biomedical Engineering Research Centre, Nanyang Technological University, Singapore); Kim, Y. (Department of Bioengineering, University of Washington, Seattle, WA, 98195, USA)",,"Kim, E. (University of Washington); Mayani, A. (University of Washington); Modi, S. (University of Washington); Soh, C. B. (Nanyang Technological University); Kim, Y. (University of Washington)",Nanyang Technological University; University of Washington,grid.59025.3b; grid.34477.33,Singapore; Seattle,; Washington,Singapore; United States,,,,,,14,0,0.21,2.89,,,https://app.dimensions.ai/details/publication/pub.1077368374,42 Health Sciences; 4203 Health Services and Systems; 46 Information and Computing Sciences; 4609 Information Systems,Clinical Research; Health Services,,,,,"A02 Public Health, Health Services and Primary Care",3 Good Health and Well Being
2572,pub.1077368247,10.1109/iembs.2005.1616482,17282251,,0-7803-8741-4,Evaluation of Patient-Centered Electronic Health Record to Overcome Digital Divide,"Advances and wide acceptance of information and communication technology (ICT) have made development and implementation of web-based electronic personal health records (PHRs) more feasible than ever before, and previous studies have demonstrated some of its potential and promises. However, this type of ICT-dependent approach inherits its own vulnerabilities of exposing the society to ""digital divide"", commonly described as the gap that exists among individuals and communities with regards to the 'haves' and 'have-nots' of information and modern communications technologies. To address these concerns and improve healthcare outcomes, we have developed and customized a web-based patient-centered electronic PHR, named the Personal Health Information Management System (PHIMS), and evaluated the system at the Everett Housing Authority, which provides housings for low-income families and elderly or disabled populations. A preliminary study demonstrates that 92% of the participating residents are satisfied with the PHIMS system in general. Some of the residents found PHIMS records very useful for their clinic visits.",,Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2005 IEEE Engineering in Medicine and Biology 27th Annual Conference,Institute of Electrical and Electronics Engineers (IEEE),"1557-170X, 1558-4615",,2005,2005,,2005,2006,,593-596,Closed,Proceeding,"Kim, E.; Mayani, A.; Modi, S.; Soh, C. B.; Kim, Y.","Kim, E. (Department of Bioengineering, University of Washington, Seattle, WA, 98195, USA); Mayani, A. (Department of Bioengineering, University of Washington, Seattle, WA, 98195, USA); Modi, S. (Department of Bioengineering, University of Washington, Seattle, WA, 98195, USA); Soh, C. B. (Biomedical Engineering Research Centre Nanyang Technological University, Singapore); Kim, Y. (Department of Bioengineering, University of Washington, Seattle, WA, 98195, USA)",,"Kim, E. (University of Washington); Mayani, A. (University of Washington); Modi, S. (University of Washington); Soh, C. B. (Nanyang Technological University); Kim, Y. (University of Washington)",University of Washington; Nanyang Technological University,grid.34477.33; grid.59025.3b,Seattle; Singapore,Washington; ,United States; Singapore,,,,,,15,0,0.25,3.1,,,https://app.dimensions.ai/details/publication/pub.1077368247,42 Health Sciences; 4203 Health Services and Systems; 46 Information and Computing Sciences; 4609 Information Systems,Clinical Research; Health Services,,,,,C17 Business and Management Studies,3 Good Health and Well Being
2441,pub.1077256844,,16779365,PMC1560455,,Developing computer skills and competencies in seniors.,"We developed a training protocol for elderly participants of a home telemedicine study, grounded in prior usability research. The training aimed to reduce barriers in developing system mastery. Our findings are indicative of both the promises and challenges involved in bridging the digital divide. Sixteen participants of a diabetes study were trained to use the computer applications.",,AMIA Annual Symposium Proceedings,,,"1531-605X, 1942-597X","Aged; Aged, 80 and over; Computer Literacy; Computer User Training; Educational Status; Female; Humans; Middle Aged; Telemedicine",2005,2005,,2005,2005,,1078,Closed,Article,"Pevzner, Jenia; Kaufmann, David R; Hilliman, Charlyn; Shea, Steven; Weinstock, Ruth S; Starren, Justin","Pevzner, Jenia (College of Physicians and Surgeons, Columbia University, New York, NY, USA.); Kaufmann, David R (); Hilliman, Charlyn (); Shea, Steven (); Weinstock, Ruth S (); Starren, Justin ()",,"Pevzner, Jenia (Columbia University); Kaufmann, David R (); Hilliman, Charlyn (); Shea, Steven (); Weinstock, Ruth S (); Starren, Justin ()",Columbia University,grid.21729.3f,New York,New York,United States,United States Public Health Service,,United States,,,2,0,0.03,0.41,,,https://app.dimensions.ai/details/publication/pub.1077256844,46 Information and Computing Sciences; 4608 Human-Centred Computing,Clinical Research; Networking and Information Technology R&D,,,,,"A03 Allied Health Professions, Dentistry, Nursing and Pharmacy",3 Good Health and Well Being
2338,pub.1077493965,,17911893,,,Sustainable health systems: addressing three key areas.,"In the modern context sustainable health systems are being developed using the newest technological and communication technologies. This is proving to be a great success for the growth of Health Informatics and healthcare improvement. However this revolution is not being reached by a lot of the world population. This paper will address the importance of closing the Digital Divide, Empowerment of health consumers and the importance of converging communications. Key areas in the development of a truly sustainable health system.",,Studies in health technology and informatics,,,0926-9630,Africa; Developing Countries; Health Education; Health Services Accessibility; Internet; Medical Informatics,2007,2007,,2007,129,Pt 2,1139-43,Closed,Article,"Chhanabhai, Prajesh N; Holt, Alec; Benwell, George","Chhanabhai, Prajesh N (Department of Information Science, University of Otago, New Zealand. pchhanabhai@infoscience.otago.ac.nz); Holt, Alec (); Benwell, George ()",,"Chhanabhai, Prajesh N (University of Otago); Holt, Alec (); Benwell, George ()",University of Otago,grid.29980.3a,Dunedin,,New Zealand,,,,,,1,0,0.04,0.19,,,https://app.dimensions.ai/details/publication/pub.1077493965,42 Health Sciences; 4203 Health Services and Systems; 46 Information and Computing Sciences,Networking and Information Technology R&D,Generic health relevance,,,,"D32 Art and Design: History, Practice and Theory",3 Good Health and Well Being
2280,pub.1003766461,10.1038/scientificamerican0803-42,12884537,,,Demystifying the Digital Divide,The simple binary notion of technology haves and have-nots doesn't quite compute,,Scientific American,,Springer Nature,"0036-8733, 1946-7087",,2003-08,2003,,2003-08,289,2,42-47,Closed,Article,"Warschauer, Mark","Warschauer, Mark (Department of Education, University of California, Irvine, USA.)",,"Warschauer, Mark (University of California, Irvine)","University of California, Irvine",grid.266093.8,Irvine,California,United States,,,,,,144,15,0.24,68.69,,,https://app.dimensions.ai/details/publication/pub.1003766461,"46 Information and Computing Sciences; 47 Language, Communication and Culture; 4701 Communication and Media Studies",,,,,,,3 Good Health and Well Being
2275,pub.1077016767,,15747917,,,Interactive telemedicine as a tool to avoid a digital divide in the world.,"An efficient way of closing the gap in medical care between the EU and its Mediterranean partners is the use of satellite-based networks for telemedical applications. Using standard hardware components and specially designed communication software (WinVicos) various telemedical applications (teleconsultation, telementoring, teleteaching, etc.) have been realized. Two telemedical networks which have been designed and developed recently, MEDASHIP (Medical Assistance for Ships) and EMISPHER (Euro-Mediterranean Internet-Satellite Platform for Health, medical Education and Research), are presented.",,Studies in health technology and informatics,,,0926-9630,Computer Communication Networks; Humans; International Cooperation; Medically Underserved Area; Remote Consultation; Satellite Communications; Ships; Telemedicine; User-Computer Interface,2004,2004,,2004,103,,150-6,Closed,Article,"Graschew, Georgi; Roelofs, Theo A; Rakowsky, Stefan; Schlag, Peter M","Graschew, Georgi (Surgical Research Unit OP 2000, Max-Delbrueck-Center for Molecular Medicine and Robert-Roessle-Klinik, Charité-University Medicine Berlin, Lindenberger Weg 80, 13125 Berlin, Germany. graschew@mdc-berlin.de); Roelofs, Theo A (); Rakowsky, Stefan (); Schlag, Peter M ()",,"Graschew, Georgi (Charité - University Medicine Berlin); Roelofs, Theo A (); Rakowsky, Stefan (); Schlag, Peter M ()",Charité - University Medicine Berlin,grid.6363.0,Berlin,,Germany,,,,,,7,0,0.15,1.41,,,https://app.dimensions.ai/details/publication/pub.1077016767,46 Information and Computing Sciences; 4605 Data Management and Data Science,,,,,,B11 Computer Science and Informatics,
