"About the data: Exported on Dec 13, 2022. Criteria: '""digital divide*"" OR ""digital inequalit*"" OR ""digital gap*""' in title and abstract; Publication Year is 2000 or 2001 or 2002 or 2003 or 2004 or 2005 or 2006 or 2007; Fields of Research (ANZSRC 2020) is 35 Commerce, Management, Tourism and Services or 38 Economics or 46 Information and Computing Sciences; Publication Type is Article or Chapter or Proceeding. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,
Publication ID,DOI,Title,Abstract,Source title/Anthology title,PubYear,Volume,Issue,Pagination,Authors,Authors Affiliations - Name of Research organization,Authors Affiliations - Country of Research organization,Dimensions URL,Times cited,Cited references
pub.1077130253,,Disseminating relevant health information to underserved audiences: implications of the Digital Divide Pilot Projects.,"OBJECTIVE: This paper examines the influence of the digital divide on disparities in health outcomes for vulnerable populations, identifying implications for medical and public libraries. METHOD: The paper describes the results of the Digital Divide Pilot Projects demonstration research programs funded by the National Cancer Institute to test new strategies for disseminating relevant health information to underserved and at-risk audiences. RESULTS: The Digital Divide Pilot Projects field-tested innovative systemic strategies for helping underserved populations access and utilize relevant health information to make informed health-related decisions about seeking appropriate health care and support, resisting avoidable and significant health risks, and promoting their own health. IMPLICATIONS: The paper builds on the Digital Divide Pilot Projects by identifying implications for developing health communication strategies that libraries can adopt to provide digital health information to vulnerable populations.",Journal of the Medical Library Association,2005,93,4 Suppl,s68-73,"Kreps, Gary L",George Mason University,United States,https://app.dimensions.ai/details/publication/pub.1077130253,64,"[Chang, Betty L.; Bakken, Suzanne; Brown, S. Scott; Houston, Thomas K.; Kreps, Gary L.; Kukafka, Rita; Safran, Charles; Stavri, P. Zoe]|[ur.0630105350.27; ur.01065226015.05; ur.0611032563.53; ur.01065606006.57; ur.01336444473.17; ur.01076712661.28; ; ur.0700527604.16]|Journal of the American Medical Informatics Association|2004|11|6|448-457|10.1197/jamia.m1535|pub.1001877957|200;[HAIDER, MUHIUDDIN; KREPS, GARY L.]|[ur.0700076177.03; ur.01336444473.17]|Journal of Health Communication|2004|9|sup1|3-11|10.1080/10810730490271430|pub.1022510211|148;[Kreps, Gary J]|[]|Health Communication|2003|15|2|161-169|10.1207/s15327027hc1502_4|pub.1031673043|57;[Gustafson, David H.; Hawkins, Robert; Boberg, Eric; Pingree, Susanne; Serlin, Ronald E.; Graziano, Frank; Chan, Chein Lung]|[ur.0726505407.18; ur.01170123373.77; ur.01206672504.61; ; ; ; ur.01330025116.09]|American Journal of Preventive Medicine|1999|16|1|1-9|10.1016/s0749-3797(98)00108-1|pub.1033671510|391"
pub.1077504662,,The electronic health record: a digital divide?,"The gap between EHR adoption among larger providers versus adoption by smaller or rural providers has caused a ""digital divide"" that could threaten smaller providers' survival in the years ahead. Closing this gap will require the collective action of providers, payers, and government.",Healthcare Financial Management,2007,61,10,"38-40, 42","Glaser, John",Partners HealthCare,United States,https://app.dimensions.ai/details/publication/pub.1077504662,6,
pub.1077363801,10.1109/iembs.2004.1403868,Modeling Telehealth and Telemedicine: A Global Geosociopolitical Perspective,"Telehealth and telemedicine can encompass many applications including direct patient care, training, supervision, consultation, continuing education, and consumer health. The field uses an array of technology from the simplest telephony to advanced robotics. Therefore, it is important to work from a model in design or implementation. This rapidly changing and sometimes chaotic environment presents engineers with a unique opportunity to address the digital divide that is reflective of the geosociopolitical makeup of the world economy. The paper begins a developmental perspective of service delivery models currently used, likening the early years to a feudal system and the current time to a mosaic. After a brief look at the digital divide and the role of culture in technology, the paper concludes with application examples from projects around the world and suggests ways that model systems can be designed with various levels of technology.",Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2004,2,,3072-3075,"Stamm, B Hudnall",Idaho State University,United States,https://app.dimensions.ai/details/publication/pub.1077363801,2,"[Weik, Martin H.]|[]|Computer Science and Communications Dictionary|2000|||824-824|10.1007/1-4020-0613-6_9447|pub.1006817335|20;[STAMM, B. HUDNALL; STAMM, HENRY E.; HUDNALL, AMY C.; HIGSON-SMITH, CRAIG]|[ur.01154003454.29; ur.011302164063.97; ur.011245137441.99; ur.01172117277.75]|Journal of Loss and Trauma|2004|9|1|89-111|10.1080/15325020490255412|pub.1030245826|41;[Stamm, B. Hudnall; Perednia, Douglas A.]|[ur.01154003454.29; ur.01024423267.98]|Professional Psychology Research and Practice|2000|31|2|184-189|10.1037/0735-7028.31.2.184|pub.1042337905|21;[Stamm, B Hudnall; Tuma, Farris; Norris, Fran H; Piland, Neill F; van der Hart, Onno; Fairbank, John A; Stamm, Henry E; Higson-Smith, Craig; Barbanel, Laura; Levant, Ronald F]|[ur.01154003454.29; ur.01206470605.05; ur.01120111307.29; ur.0760476456.54; ur.01144643354.30; ; ur.011302164063.97; ur.01172117277.75; ur.0605123542.02; ur.0710206422.10]|IEEE Pulse|2004|23|1|149-161|10.1109/memb.2004.1297187|pub.1061401216|3;[]|[]|American Journal of Orthopsychiatry|2002|72|1|156-156|10.1111/j.1939-0025.2002.tb04498.x|pub.1061959082|13;[Distefano, Anna; Rudestam, Kjell; Silverman, Robert]|[; ; ur.012611254757.44]|Encyclopedia of Distributed Learning|2004||||10.4135/9781412950596.n156|pub.1088061895|4;[Distefano, Anna; Rudestam, Kjell; Silverman, Robert]|[; ; ur.012611254757.44]|Encyclopedia of Distributed Learning|2004||||10.4135/9781412950596.n35|pub.1088061934|1"
pub.1074719885,,"Library outreach: addressing Utah's ""Digital Divide"".","A ""Digital Divide"" in information and technological literacy exists in Utah between small hospitals and clinics in rural areas and the larger health care institutions in the major urban area of the state. The goals of the outreach program of the Spencer S. Eccles Health Sciences Library at the University of Utah address solutions to this disparity in partnership with the National Network of Libraries of Medicine-- Midcontinental Region, the Utah Department of Health, and the Utah Area Health Education Centers. In a circuit-rider approach, an outreach librarian offers classes and demonstrations throughout the state that teach information-access skills to health professionals. Provision of traditional library services to unaffiliated health professionals is integrated into the library's daily workload as a component of the outreach program. The paper describes the history, methodology, administration, funding, impact, and results of the program.",Journal of the Medical Library Association,2000,88,4,367-73,"McCloskey, K M",University of Utah,United States,https://app.dimensions.ai/details/publication/pub.1074719885,8,
pub.1077368374,10.1109/iembs.2005.1616609,Evaluation of Patient-Centered Electronic Health Record to Overcome Digital Divide,"Advances and wide acceptance of information and communication technology (ICT) have made development and implementation of web-based electronic personal health records (PHRs) more feasible than ever before, and previous studies have demonstrated some of its potential and promises. However, this type of ICT-dependent approach inherits its own vulnerabilities of exposing the society to digital divide, commonly described as the gap that exists among individuals and communities with regards to the haves and have-nots of information and modern communications technologies. To address these concerns and improve healthcare outcomes, we have developed and customized a web-based patient-centered electronic PHR, named the Personal Health Information Management System (PHIMS), and evaluated the system at the Everett Housing Authority, which provides housings for low-income ncome families and elderly or disabled populations. A preliminary study demonstrates that 92% of the participating residents are satisfied with the PHIMS system in general. Some of the residents found PHIMS records very useful for their clinic visits.",Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2005,2005,,1091-1094,"Kim, E.; Mayani, A.; Modi, S.; Soh, C. B.; Kim, Y.",University of Washington; Nanyang Technological University,United States; Singapore,https://app.dimensions.ai/details/publication/pub.1077368374,14,"[Homer, Caroline S.E.; Davis, Gregory K.; Everitt, Louise S.]|[ur.010540703437.13; ur.016300756015.47; ur.01066344623.65]|Australian and New Zealand Journal of Obstetrics and Gynaecology|1999|39|1|54-57|10.1111/j.1479-828x.1999.tb03445.x|pub.1024862591|52;[Cimino, James J.; Patel, Vimla L.; Kushniruk, Andre W.]|[ur.0615436161.22; ur.01165640762.52; ur.01366654044.52]|Journal of the American Medical Informatics Association|2001|8|2|163-173|10.1136/jamia.2001.0080163|pub.1025042615|65;[ELBOURNE, D.; RICHARDSON, M.; CHALMERS, I.; WATERHOUSE, I.; HOLT, E.]|[; ; ; ur.0770055365.08; ur.01367366065.83]|BJOG An International Journal of Obstetrics & Gynaecology|1987|94|7|612-619|10.1111/j.1471-0528.1987.tb03165.x|pub.1025149026|107;[Ross, Stephen E.; Lin, Chen-Tan]|[ur.01250433246.25; ur.01347730701.27]|Journal of the American Medical Informatics Association|2003|10|2|129-138|10.1197/jamia.m1147|pub.1027332013|233;[Kushniruk, Andre W; Patel, Camille; Patel, Vimla L; Cimino, James J]|[ur.01366654044.52; ; ur.01165640762.52; ur.0615436161.22]|International Journal of Medical Informatics|2001|61|1|45-70|10.1016/s1386-5056(00)00133-7|pub.1031573236|46;[Kaufman, David R; Patel, Vimla L; Hilliman, Charlyn; Morin, Philip C; Pevzner, Jenia; Weinstock, Ruth S; Goland, Robin; Shea, Steven; Starren, Justin]|[ur.01033264616.09; ur.01165640762.52; ur.01064323010.10; ur.01132436210.45; ur.01200551410.22; ur.01313332511.08; ur.01146361662.06; ur.07472701777.16; ur.01341566416.40]|Journal of Biomedical Informatics|2003|36|1-2|45-60|10.1016/s1532-0464(03)00056-x|pub.1038069054|183;[Wang, Maisie; Lau, Christopher; Matsen, Frederick A.; Kim, Yongmin]|[ur.01003361504.14; ur.01322362054.87; ur.07572277255.24; ur.01172010215.18]|IEEE Journal of Biomedical and Health Informatics|2004|8|3|287-297|10.1109/titb.2004.834397|pub.1061656324|56;[Leavitt, M]|[]|Medscape journal of medicine|2001|3|2|2||pub.1074879164|2253;[Kim, Eung-Hun; Wang, Maisie; Lau, Christopher; Kim, Yongmin]|[ur.01311305522.97; ur.01003361504.14; ur.01322362054.87; ur.01172010215.18]|Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)|2004|2||3159-3162|10.1109/iembs.2004.1403891|pub.1077363824|20"
pub.1077368247,10.1109/iembs.2005.1616482,Evaluation of Patient-Centered Electronic Health Record to Overcome Digital Divide,"Advances and wide acceptance of information and communication technology (ICT) have made development and implementation of web-based electronic personal health records (PHRs) more feasible than ever before, and previous studies have demonstrated some of its potential and promises. However, this type of ICT-dependent approach inherits its own vulnerabilities of exposing the society to ""digital divide"", commonly described as the gap that exists among individuals and communities with regards to the 'haves' and 'have-nots' of information and modern communications technologies. To address these concerns and improve healthcare outcomes, we have developed and customized a web-based patient-centered electronic PHR, named the Personal Health Information Management System (PHIMS), and evaluated the system at the Everett Housing Authority, which provides housings for low-income families and elderly or disabled populations. A preliminary study demonstrates that 92% of the participating residents are satisfied with the PHIMS system in general. Some of the residents found PHIMS records very useful for their clinic visits.",Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC),2005,2006,,593-596,"Kim, E.; Mayani, A.; Modi, S.; Soh, C. B.; Kim, Y.",University of Washington; Nanyang Technological University,United States; Singapore,https://app.dimensions.ai/details/publication/pub.1077368247,15,"[Homer, Caroline S.E.; Davis, Gregory K.; Everitt, Louise S.]|[ur.010540703437.13; ur.016300756015.47; ur.01066344623.65]|Australian and New Zealand Journal of Obstetrics and Gynaecology|1999|39|1|54-57|10.1111/j.1479-828x.1999.tb03445.x|pub.1024862591|52;[Cimino, James J.; Patel, Vimla L.; Kushniruk, Andre W.]|[ur.0615436161.22; ur.01165640762.52; ur.01366654044.52]|Journal of the American Medical Informatics Association|2001|8|2|163-173|10.1136/jamia.2001.0080163|pub.1025042615|65;[ELBOURNE, D.; RICHARDSON, M.; CHALMERS, I.; WATERHOUSE, I.; HOLT, E.]|[; ; ; ur.0770055365.08; ur.01367366065.83]|BJOG An International Journal of Obstetrics & Gynaecology|1987|94|7|612-619|10.1111/j.1471-0528.1987.tb03165.x|pub.1025149026|107;[Ross, Stephen E.; Lin, Chen-Tan]|[ur.01250433246.25; ur.01347730701.27]|Journal of the American Medical Informatics Association|2003|10|2|129-138|10.1197/jamia.m1147|pub.1027332013|233;[Kushniruk, Andre W; Patel, Camille; Patel, Vimla L; Cimino, James J]|[ur.01366654044.52; ; ur.01165640762.52; ur.0615436161.22]|International Journal of Medical Informatics|2001|61|1|45-70|10.1016/s1386-5056(00)00133-7|pub.1031573236|46;[Kaufman, David R; Patel, Vimla L; Hilliman, Charlyn; Morin, Philip C; Pevzner, Jenia; Weinstock, Ruth S; Goland, Robin; Shea, Steven; Starren, Justin]|[ur.01033264616.09; ur.01165640762.52; ur.01064323010.10; ur.01132436210.45; ur.01200551410.22; ur.01313332511.08; ur.01146361662.06; ur.07472701777.16; ur.01341566416.40]|Journal of Biomedical Informatics|2003|36|1-2|45-60|10.1016/s1532-0464(03)00056-x|pub.1038069054|183;[Homer, Caroline S. E.; Davis, Gregory K.; Everitt, Louise S.]|[ur.010540703437.13; ur.016300756015.47; ur.01066344623.65]|Obstetrical & Gynecological Survey|1999|54|10|630-631|10.1097/00006254-199910000-00011|pub.1060260098|2;[Wang, Maisie; Lau, Christopher; Matsen, Frederick A.; Kim, Yongmin]|[ur.01003361504.14; ur.01322362054.87; ur.07572277255.24; ur.01172010215.18]|IEEE Journal of Biomedical and Health Informatics|2004|8|3|287-297|10.1109/titb.2004.834397|pub.1061656324|56;[Leavitt, M]|[]|Medscape journal of medicine|2001|3|2|2||pub.1074879164|2253;[Kim, Eung-Hun; Wang, Maisie; Lau, Christopher; Kim, Yongmin]|[ur.01311305522.97; ur.01003361504.14; ur.01322362054.87; ur.01172010215.18]|Annual International Conference of the IEEE Engineering in Medicine and Biology Society (EMBC)|2004|2||3159-3162|10.1109/iembs.2004.1403891|pub.1077363824|20"
pub.1077256844,,Developing computer skills and competencies in seniors.,"We developed a training protocol for elderly participants of a home telemedicine study, grounded in prior usability research. The training aimed to reduce barriers in developing system mastery. Our findings are indicative of both the promises and challenges involved in bridging the digital divide. Sixteen participants of a diabetes study were trained to use the computer applications.",AMIA Annual Symposium Proceedings,2005,2005,,1078,"Pevzner, Jenia; Kaufmann, David R; Hilliman, Charlyn; Shea, Steven; Weinstock, Ruth S; Starren, Justin",Columbia University,United States,https://app.dimensions.ai/details/publication/pub.1077256844,2,"[Kaufman, David R; Patel, Vimla L; Hilliman, Charlyn; Morin, Philip C; Pevzner, Jenia; Weinstock, Ruth S; Goland, Robin; Shea, Steven; Starren, Justin]|[ur.01033264616.09; ur.01165640762.52; ur.01064323010.10; ur.01132436210.45; ur.01200551410.22; ur.01313332511.08; ur.01146361662.06; ur.07472701777.16; ur.01341566416.40]|Journal of Biomedical Informatics|2003|36|1-2|45-60|10.1016/s1532-0464(03)00056-x|pub.1038069054|183"
pub.1077493965,,Sustainable health systems: addressing three key areas.,"In the modern context sustainable health systems are being developed using the newest technological and communication technologies. This is proving to be a great success for the growth of Health Informatics and healthcare improvement. However this revolution is not being reached by a lot of the world population. This paper will address the importance of closing the Digital Divide, Empowerment of health consumers and the importance of converging communications. Key areas in the development of a truly sustainable health system.",Studies in health technology and informatics,2007,129,Pt 2,1139-43,"Chhanabhai, Prajesh N; Holt, Alec; Benwell, George",University of Otago,New Zealand,https://app.dimensions.ai/details/publication/pub.1077493965,1,
pub.1003766461,10.1038/scientificamerican0803-42,Demystifying the Digital Divide,The simple binary notion of technology haves and have-nots doesn't quite compute,Scientific American,2003,289,2,42-47,"Warschauer, Mark","University of California, Irvine",United States,https://app.dimensions.ai/details/publication/pub.1003766461,144,
pub.1077016767,,Interactive telemedicine as a tool to avoid a digital divide in the world.,"An efficient way of closing the gap in medical care between the EU and its Mediterranean partners is the use of satellite-based networks for telemedical applications. Using standard hardware components and specially designed communication software (WinVicos) various telemedical applications (teleconsultation, telementoring, teleteaching, etc.) have been realized. Two telemedical networks which have been designed and developed recently, MEDASHIP (Medical Assistance for Ships) and EMISPHER (Euro-Mediterranean Internet-Satellite Platform for Health, medical Education and Research), are presented.",Studies in health technology and informatics,2004,103,,150-6,"Graschew, Georgi; Roelofs, Theo A; Rakowsky, Stefan; Schlag, Peter M",Charité - University Medicine Berlin,Germany,https://app.dimensions.ai/details/publication/pub.1077016767,7,
