vertex,TI,cluster,btw_centrality,degree,AB
"Selwyn N, 2001",DIGITAL DIVIDE OR DIGITAL OPPORTUNITY? THE ROLE OF TECHNOLOGY IN OVERCOMING SOCIAL EXCLUSION IN US EDUCATION,1,0,0.6209150326797386,"THE USE OF INFORMATION TECHNOLOGY IN EDUCATION IS NOW A POLITICAL ORTHODOXY SEEN BY MANY POLITICIANS AND EDUCATORS AS A READY MEANS OF WIDENING PARTICIPATION TO THOSE SOCIAL GROUPS TRADITIONALLY EXCLUDED FROM LEARNING. HOWEVER THE ROLE OF TECHNOLOGY IN OVERCOMING SOCIAL EXCLUSION IN EDUCATION AND LIFETIME LEARNING PRACTICES HAS OFTEN FAILED TO BE OBJECTIVELY DISCUSSED WITH A TENDENCY FOR MANY EDUCATIONALISTS TO ADOPT EITHER OVERTLY OPTIMISTIC OR PESSIMISTIC POSITIONS. FROM THIS BACKGROUND THE PRESENT ARTICLE OBJECTIVELY EXAMINES BOTH CURRENT PATTERNS OF EXCLUSION FROM EDUCATION AND TECHNOLOGY ALONGSIDE THE RANGE OF ONGOING POLICIES AND INITIATIVES ESTABLISHED IN THE UNITED STATES CONCERNED WITH TECHNOLOGY AND EDUCATION. MOREOVER BASED ON A RANGE OF NORTH AMERICAN AND EUROPEAN RESEARCH LITERATURE CONCERNED WITH PARTICIPATION IN EDUCATION, THE ARTICLE THEN DISCUSSES THE ISSUES AND PROBLEMS FACED BY U.S. EDUCATIONALISTS AND POLICY MAKERS IN PROACTIVELY USING TECHNOLOGY AS A MEANS OF REDUCING SOCIAL EXCLUSION IN LIFELONG EDUCATION."
"Graham S, 2002",BRIDGING URBAN DIGITAL DIVIDES? URBAN POLARISATION AND INFORMATION AND COMMUNICATIONS TECHNOLOGIES (ICTS),1,0.36481911974981507,0.5261437908496732,"THE SOCIETAL DIFFUSION OF INFORMATION AND COMMUNICATIONS TECHNOLOGIES (ICTS) REMAINS STARKLY UNEVEN AT ALL SCALES. IT IS IN THE CONTEMPORARY CITY THAT THIS UNEVENNESS BECOMES MOST VISIBLE. IN CITIES, CLUSTERS AND ENCLAVES OF 'SUPERCONNECTED' PEOPLE, FIRMS AND INSTITUTIONS OFTEN REST CHEEK-BY-JOWEL WITH LARGE NUMBERS OF PEOPLE WITH NON-EXISTENT OR RUDIMENTARY ACCESS TO COMMUNICATIONS TECHNOLOGIES. IN SUCH A CONTEXT, THIS PAPER HAS TWO OBJECTIVES, REFLECTED IN ITS TWO PARTS. THE FIRST PART OF THE PAPER SEEKS TO DEMONSTRATE THAT DOMINANT TRENDS IN ICT DEVELOPMENT ARE CURRENTLY HELPING TO SUPPORT NEW EXTREMES OF SOCIAL AND GEOGRAPHICAL UNEVENNESS WITHIN AND BETWEEN HUMAN SETTLEMENTS AND CITIES, IN BOTH THE NORTH AND THE SOUTH. THE PAPER'S SECOND PART AIMS TO EXPLORE THE PROSPECT THAT SUCH STARK 'URBAN DIGITAL DIVIDES' MIGHT BE AMELIORATED THROUGH PROGRESSIVE AND INNOVATIVE POLICY INITIATIVES WHICH TREAT CITIES AND ELECTRONIC TECHNOLOGIES IN PARALLEL. IT DOES THIS USING A RANGE OF ILLUSTRATIVE EXEMPLARS FROM A VARIETY OF CONTEXTS."
"Warren M, 2002",DIGITAL DIVIDES AND THE ADOPTION OF INFORMATION AND COMMUNICATION TECHNOLOGIES IN THE UK FARM SECTOR,1,0.12460464526384873,0.3627450980392157,"FOR FARM BUSINESSES OPERATING IN REMOTE RURAL AREAS, INTERNET-BASED TECHNOLOGIES OFFER THE PROSPECT OF OVERCOMING DISADVANTAGES RELATIVE TO URBAN AREAS, PARTICULARLY THOSE RELATED TO SPATIAL AND SOCIAL ISOLATION. USING EMPIRICAL DATA, THIS ARTICLE CONTENDS THAT A 'DIGITAL DIVIDE' EXISTS WITHIN THE AGRICULTURAL SECTOR BETWEEN RELATIVELY SMALL CATTLE AND SHEEP FARMERS AND LARGER-SCALE ARABLE AND DAIRY FARMS, WHICH WILL RESULT IN UNEVEN TAKEUP OF NEW COMMUNICATION MEDIA, LOSS OF COMPETITIVENESS AND INCREASING RELATIVE DISADVANTAGE FOR THOSE BUSINESSES AFFECTED. ARGUING THAT THIS DISADVANTAGE WILL BE SERIOUS FOR BOTH INDIVIDUAL BUSINESSES AND THE INDUSTRY, THE ARTICLE IDENTIFIES THE DEVELOPMENT OF HUMAN POTENTIAL AS A PRIORITY."
"Cornford T, 2003",SOCIAL EXCLUSION AND INFORMATION SYSTEMS IN COMMUNITY HEALTHCARE,1,13.708919557513354,0.48366013071895425,THIS PAPER DISCUSSES INFORMATION SYSTEMS IN COMMUNITY DEVELOPMENT CONTEXTS THROUGH THE PERSPECTIVE OF SOCIAL EXCLUSION. THE DISCUSSION IS SITUATED WITHIN A PARTICULAR GEOGRAPHICAL COMMUNITY IN LONDON AND IS BASED ON INITIATIVES TO ADDRESS HEALTHCARE NEEDS WITHIN THE CONTEXT OF A CONNECTED COMMUNITY INITIATIVE. THE DISCUSSION CONSIDERS THE RELATION OF INFORMATION SYSTEMS TO SOCIAL DEVELOPMENT AND PROCESSES OF INCLUSION (OR EXCLUSION).
"Mcsorley K, 2003",THE SECULAR SALVATION STORY OF THE DIGITAL DIVIDE,1,23.719255374957434,0.4869281045751634,"DESPITE MUCH DISCUSSION OF THE DIGITAL DIVIDE, LITTLE ACADEMIC WORK HAS DIRECTLY ANALYZED THE SPECIFIC POLITICAL AND POLICY CONTEXTS IN WHICH THE CONCEPT IS BEING DEVELOPED AND DEPLOYED. THIS PAPER UNDERTAKES AN ANALYSIS OF ONE SUCH INITIATIVE, THE ACTIVITY OF THE SUPRANATIONAL DIGITAL OPPORTUNITY TASK FORCE (DOT FORCE). THE ANALYSIS PROVIDES A CRITICAL DISCURSIVE ANALYSIS OF THE FINAL REPORT OF THE DOT FORCE, TOGETHER WITH THICK DESCRIPTION OF THE PROCESSES BY WHICH IT WAS PRODUCED. THE RESOLUTION OF NUMEROUS ANTAGONISMS BETWEEN THE PARTICIPANTS IN THE NARRATIVE OF THE FINAL REPORT REFLECTS THE FIELD OF POWER IN WHICH THE DOT FORCE OPERATES. THE ISSUE OF THE DIGITAL DIVIDE CAN BE BEST UNDERSTOOD AS PROVIDING A GENERATIVE RESOURCE THROUGH WHICH THE VARIOUS POLITICAL INTERESTS REPRESENTED IN THE DOT FORCE PROCESS CAN NORMATIVELY RECONFIGURE THE CONCEPTUAL AND ETHICAL POSSIBILITIES IT SIGNIFIES TO RENEW A DOMINANT, SINGULAR 'SECULAR SALVATION STORY' OF THE GLOBAL. THE SPECIFIC CLOSURE, ARTICULATION AND LEGITIMATION OF THE DIGITAL DIVIDE INSTANTIATES AN ACTION-ORIENTED TEMPORALITY AND A TRANSFORMED MORAL AGENDA, FROM A CONCERN WITH INEQUALITY TO A PRESSING INCLUSIONARY IMPERATIVE TO CONNECT WITH THE PROMISE OF TECHNOLOGY AND DEVELOPMENT. © 2003 KLUWER ACADEMIC PUBLISHERS."
"Selwyn N, 2004",RECONSIDERING POLITICAL AND POPULAR UNDERSTANDINGS OF THE DIGITAL DIVIDE,1,66.33430400963714,0.9705882352941176,"THIS ARTICLE PRESENTS A THEORETICAL EXAMINATION OF THE DIGITAL DIVIDE, TRACING ITS ORIGINS IN THE CENTRE-LEFT SOCIAL INCLUSION POLICY AGENDA OF THE 1980S AND 1990S TO ITS CURRENT STATUS OF POLITICAL 'HOT TOPIC'. IT THEN MOVES ON TO OUTLINE FOUR CONCEPTUAL LIMITATIONS TO CONVENTIONAL DICHOTONNOUS NOTIONS OF THE DIGITAL DIVIDE AND INDIVIDUALS' 'ACCESS' TO INFORMATION AND COMMUNICATIONS TECHNOLOGY (ICT): WHAT IS MEANT BY ICT; WHAT IS MEANT BY 'ACCESS'; THE RELATIONSHIP BETWEEN 'ACCESS TO ICT' AND 'USE OF ICT'; AND A LACK OF CONSIDERATION OF THE CONSEQUENCES OF ENGAGEMENT WITH ICT THE ARTICLE OUTLINES A MORE SOPHISTICATED, HIERARCHICAL MODEL OF THE DIGITAL DIVIDE BASED AROUND THESE CONCEPTUAL 'STAGES' WHILE RECOGNIZING THE MEDIATING ROLE OF ECONOMIC, CULTURAL AND SOCIAL FORMS OF CAPITAL IN SHAPING INDIVIDUALS' ENGAGEMENTS WITH ICT IT CONCLUDES BY DEVELOPING A SET OF RESEARCH THEMES AND QUESTIONS FOR FUTURE EXAMINATION OF INEQUALITIES IN INDIVIDUALS' USE OF ICT."
"Korupp S, 2005",CAUSES AND TRENDS OF THE DIGITAL DIVIDE,1,26.119865308701367,0.6274509803921569,"IN MODERN SOCIETIES, THE DIGITAL DIVIDE INDICATES THE EMERGENCE OF A NEW FORM OF SOCIAL INEQUALITY. TO ANALYSE THIS CONCEPT WE STUDY CAUSES OF PRIVATE COMPUTER AND INTERNET ACCESS WITH A THREE-FOLD MODEL INCLUDING HUMAN CAPITAL, FAMILY CONTEXT AND SOCIAL CONTEXT. THE 1997, 2001, AND 2003 GERMAN SOCIO-ECONOMIC PANEL WAVES CONTAIN DATA ON PRIVATE COMPUTER AND INTERNET USE, AS WELL AS INFORMATION ON PAST AND PRESENT SOCIO-ECONOMIC CIRCUMSTANCES. IN 2003, MEMBERSHIP OF TECHNICAL GENERATIONS AND ETHNIC BACKGROUND TO A LARGE EXTENT DETERMINED THE USE OF NEW TECHNOLOGIES. BY ILLUSTRATING THE IMPORTANCE OF HUMAN CAPITAL AND FAMILY CONTEXT WE ARE ABLE TO EXPLAIN ADDITIONAL DIFFERENCES FOUND FOR COMPUTER AND INTERNET USE. EFFECTS OF INCOME, GENDER, AND LIVING IN A SINGLE HOUSEHOLD ARE SIGNIFICANT. OUR STUDY SHOWS THAT SOME OF THE LONG-TERM CONSEQUENCES OF THE 40-YEAR GERMAN SEPARATION ARE DIMINISHING WITH REGARD TO COMPUTER USE. WE DEMONSTRATE THAT HUMAN AND SOCIAL CAPITAL ARE MORE IMPORTANT THAN ECONOMIC CAPITAL IN EXPLAINING PRIVATE COMPUTER AND INTERNET USE. INDICATIONS FOR HIGHER SOCIAL CLASSES TO SECURE OR EVEN INCREASE THEIR FAVOURABLE SOCIAL POSITIONS EXIST."
"Lindsay C, 2005","EMPLOYABILITY, SERVICES FOR UNEMPLOYED JOB SEEKERS AND THE DIGITAL DIVIDE",1,3.38142152350697,0.5947712418300654,"PROVIDING ACCURATE AND ACCESSIBLE LABOUR MARKET INFORMATION IS A KEY PRIORITY FOR POLICIES TARGETED AT IMPROVING THE EMPLOYABILITY OF UNEMPLOYED PEOPLE. IN AN ATTEMPT TO DEVELOP THE QUALITY AND REACH OF SUCH SERVICES, POLICY-MAKERS ARE INCREASINGLY TURNING TO ICT, AND PARTICULARLY THE INTERNET. HOWEVER, THERE ARE CONCERNS THAT THE EXPANSION OF SERVICES DELIVERED THROUGH ICT RISKS LEAVING BEHIND THE MOST DISADVANTAGED. THIS PAPER INVESTIGATES THE CURRENT AND POTENTIAL ROLE OF ICT WITHIN THE JOB-SEEKING ACTIVITIES OF UNEMPLOYED PEOPLE IN ONE URBAN LABOUR MARKET (THE CITY OF GLASGOW). DEPLOYING THE CONCEPT OF THE 'DIGITAL DIVIDE' AS AN ANALYTICAL FRAMEWORK, IT EXAMINES DIFFERENCES BETWEEN JOB SEEKERS' ACCESS TO, AND USE OF, THE INTERNET. THE PAPER FINDS AN ASSOCIATION BETWEEN HIGHER LEVELS OF ECONOMIC CAPITAL (INCOME) AND CULTURAL CAPITAL (SKILLS) AND INTERNET ACCESS AND JOB SEEKING. IT IS ARGUED THAT A RENEWED COMMITMENT TO THE DEVELOPMENT OF COMMUNITY-BASED TECHNOLOGY CENTRES AND ICT TRAINING FOR THE UNEMPLOYED IS REQUIRED, IF DISADVANTAGED JOB SEEKERS ARE TO REAP THE POTENTIAL EMPLOYABILITY GAINS ASSOCIATED WITH THE EXPANSION OF ON-LINE SERVICES."
"Vehovar V, 2006",METHODOLOGICAL CHALLENGES OF DIGITAL DIVIDE MEASUREMENTS,1,53.25203319847439,1,"THE TERM ""DIGITAL DIVIDE"" HAS BEEN USED FOR ALMOST A DECADE AND TYPICALLY RELATES TO SOCIODEMOGRAPHIC DIFFERENCES IN THE USE OF INFORMATION AND COMMUNICATION TECHNOLOGY. HOWEVER, THE CORRESPONDING MEASUREMENT IS STILL RELATIVELY IMPRECISE. VERY OFTEN IT IS SIMPLY REDUCED TO COMPARISONS OF INTERNET PENETRATION RATES. THIS ARTICLE EXTENDS THE MEASUREMENTS ABOVE THE USUAL BIVARIATE COMPARISONS. WITHIN THIS CONTEXT, THREE ESSENTIAL APPROACHES ARE PRESENTED AND CRITICALLY EVALUATED. FIRST, LOGLINEAR MODELING IS USED TO ADDRESS THE INTERACTIONS AMONG THE FACTORS AFFECTING THE DIGITAL DIVIDE. SECOND, COMPOUND MEASURES (I.E., THE DIGITAL DIVIDE INDEX) THAT INTEGRATE A NUMBER OF VARIABLES INTO A SINGLE INDICATOR ARE DISCUSSED. THIRD, TIME-DISTANCE METHODOLOGY IS APPLIED TO ANALYZE CHANGES IN THE DIGITAL DIVIDE. THE ARTICLE ARGUES THAT THESE APPROACHES OFTEN YIELD ENTIRELY DIFFERENT CONCLUSIONS COMPARED TO SIMPLE BIVARIATE ANALYSIS. THE EXAMPLES ARE PRESENTED AS A GENERAL WARNING AGAINST AN OVERSIMPLIFIED METHODOLOGICAL APPROACH TO DIGITAL DIVIDE STUDIES."
"Warren M, 2007",THE DIGITAL VICIOUS CYCLE: LINKS BETWEEN SOCIAL DISADVANTAGE AND DIGITAL EXCLUSION IN RURAL AREAS,1,6.829678123898886,0.7156862745098039,"THE INTERNET CONFERS BENEFITS ON ITS USERS IN A VARIETY OF WAYS, RANGING FROM SIMPLE INFORMATION ACQUISITION AND PURCHASING GOODS AND SERVICES, TO INTERACTING WITH A RANGE OF INDIVIDUALS AND GROUPS IN THE WIDER PROCESSES OF GOVERNANCE. RURAL CITIZENS STAND TO GAIN MORE THAN MOST, RELATIVELY, SINCE THE USE OF THE INTERNET REDUCES, IF NOT REMOVES, FORMER BARRIERS (PARTICULARLY THAT OF DISTANCE) TO SUCH INTERACTION. TO THAT EXTENT, THE SHRINKING OF THE 'DIGITAL DIVIDE' (AND PARTICULARLY THE INCREASED AVAILABILITY OF BROADBAND INTERNET IN THE COUNTRYSIDE) IS VERY WELCOME. HOWEVER, THERE IS A DANGER THAT NON-USERS OF THE INTERNET ARE DISENFRANCHISED BY SUCH DEVELOPMENTS, AND THESE INCLUDE SOME OF THE MOST DISADVANTAGED AND VULNERABLE SECTORS OF RURAL POPULATIONS. THERE IS THUS A RISK THAT, AS THE INTERNET INCREASINGLY BECOMES REGARDED AS THE DEFAULT COMMUNICATION MEDIUM, A MINORITY BECOMES PROGRESSIVELY DISADVANTAGED, FIRST IN RELATIVE AND THEN IN ABSOLUTE TERMS. THIS PAPER EXPLORES THE LINKS BETWEEN DIGITAL EXCLUSION AND SOCIAL EXCLUSION IN A RURAL CONTEXT, TO IDENTIFY THE LIKELY CONSEQUENCES OF THIS 'DIGITAL VICIOUS CYCLE', AND TO CONSIDER THE OPTIONS FOR AMELIORATING THESE CONSEQUENCES. (C) 2007 ELSEVIER LTD. ALL RIGHTS RESERVED."
