vertex,cluster,btw_centrality,degree
Van Deursen A 2015-1,1,17.245473159082664,0.9849985435479173
Van Deursen A 2014,1,20.18978036987713,1
Van Dijk J 2005-1,1,14.094935207388042,0.9158170696184096
Hargittai E 2002,1,9.4927164475686,0.6523448878531897
Scheerder A 2017,1,4.112633083219599,0.577774541217594
Helsper E 2012-1,1,2.8207810997114944,0.38027963879988347
Blank G 2014-1,1,3.6697568296454315,0.40518496941450627
Van Deursen A 2019,1,1.5316397092511267,0.317215263617827
Van Deursen A 2017-1,1,1.7369577910861533,0.2873579959219342
Wei K 2011,1,0.9702691639798012,0.30046606466647247
Norris P 2001,2,4.059445088752091,0.6588989222254588
Van Dijk J 2006-1,2,7.492685253971649,0.624089717448296
Van Dijk J 2003,2,1.5997902531588535,0.4397028837751238
Dimaggio P 2001-1,2,2.767921054224381,0.3377512379842703
Friemel T 2016,2,2.112562765387256,0.36280221380716576
Davis F 1989,2,0.6708169815724944,0.34867462860471893
Venkatesh V 2003-1,2,1.3306482578493637,0.36367608505680166
Vicente M 2011-1,2,0.5834737843035495,0.2971162248762016
Hargittai E 2008-1,3,9.1258128439371,0.6766676376347218
Van Deursen A 2011,3,6.197310474470101,0.5295659772793475
Zillien N 2009-1,3,9.622908367175228,0.5668511505971453
Selwyn N 2004,3,4.765072147989173,0.5158753277017186
Dimaggio P 2004,3,7.4671554160114555,0.5677250218467812
Hargittai E 2010-1,3,2.6885774078139435,0.40853480920477714
Prensky M 2001-1,3,0.5543197351858997,0.3067288086221963
Livingstone S 2007-1,3,1.721042705363545,0.29434896591902127
Bonfadelli H 2002,3,1.1163515050746053,0.2930381590445674
Robinson L 2015-1,3,1.3308366573041972,0.29158170696184094
Robinson L 2009,3,1.8137318400796953,0.27759976696766675
Haight M 2014,3,1.1145945995653601,0.28400815613166325
